"Survey_Group2011","Survey_Code2011","Recipient_Code","Visa_Code_DG","MR_Code_DG","MR_Field_DG","Empl_Matrix_Name_DG","Emp_Status_Name_DG","Postdoctorate_Name_DG","Degree_Institution","Degree_Department","Citizen_Name_DG","DG_No_Forms","City","State","Zip","Type_of_Degree_DG","Surgroup2011","Recipient_Number","Sex_Code_DG","Empl_Matrix_Code_OLD","Postdoctorate_Code_DG","Emp_Status_Code_DG","Left_US_DG","Empl_Position_Title","Empl_Dept_Div","Empl_Inst_Org","Empl_City","Empl_State","Empl_Zip","Empl_Country","Surcode2011","Serial Number_DG","DG_Forms_Current_Yr","Surgroup","Survey_Code","Survey_Group","Empl_Matrix_Name","Empl_Matrix_Code","Granting Dept Serial Number","Surcode","Left_US_Code_DG","Date_Conferred_Code","survey_year","survey_type"
11.0,CASD,"110CASD0112",888.0,16.0,"1-Alg",Unknown (US),Unknown,Unknown,"University of California, San Diego",Department of Mathematics ,United States,16.0,La Jolla,CA,"92093",PHD,"11",1.0,2.0,190.0,999.0,999.0,No,,,,,,,,"11CASD",20121749,16.0,MPu_L,CASD,110.0,Unknown (US),985.0,1166.0,"110CASD",2.0,12.0,2012,DGData
11.0,GAIT,"120GAIT0112",888.0,5.0,"4-Disc",Business/Industry,Full-time,No,Georgia Institute of Technology,School of Mathematics,United States,11.0,Atlanta,GA,"30332",PHD,"11",1.0,2.0,120.0,2.0,1.0,No,,,Qualcomm,San Diego,CA,"92121",,"11GAIT",20122181,11.0,MPu_M,GAIT,120.0,Business/Industry,935.0,1467.0,"120GAIT",2.0,12.0,2012,DGData
11.0,ILCC,"110ILCC0112",1.0,22.0,"2-Anal",Masters,Full-time,No,University of Illinois at Chicago,"Mathematics, Statistics & Computer Science Department",Unknown,17.0,Chicago,IL,"60607",PHD,"11",1.0,1.0,60.0,2.0,1.0,No,Instructor,Department of Mathematics,Northeastern Illinois University,Chicago,IL,"60625-4699",United States,"11ILCC",20122175,17.0,MPu_L,ILCC,110.0,Masters,410.0,1555.0,"110ILCC",2.0,11.0,2012,DGData
11.0,ILUI,"110ILUI0112",2.0,60.0,"5-Prob",Still Seeking (Non-US),Still seeking,Not Applicable,"University of Illinois, Urbana-Champaign",Department of Mathematics ,China,28.0,Urbana,IL,"61801",PHD,"11",1.0,2.0,200.0,888.0,3.0,Yes,,,,,,,,"11ILUI",20120270,28.0,MPu_L,ILUI,110.0,Still Seeking (Non-US),995.0,1557.0,"110ILUI",1.0,2.0,2012,DGData
11.0,INIU,"110INIU0112",1.0,76.0,"7-Appl",Still Seeking (US),Still seeking,Not Applicable,"Indiana University, Bloomington",Department of Mathematics ,Hong Kong (China),10.0,Bloomington,IN,"47405",PHD,"11",1.0,2.0,180.0,888.0,3.0,No,,,,,,,,"11INIU",20120726,10.0,MPu_L,INIU,110.0,Still Seeking (US),975.0,1569.0,"110INIU",2.0,11.0,2012,DGData
11.0,MDUM,"110MDUM0112",888.0,37.0,"10-Equa",Group I Private,Full-time,Yes,"University of Maryland, College Park",Department of Mathematics ,United States,27.0,College Park,MD,"20742",PHD,"11",1.0,2.0,12.0,1.0,1.0,No,Dickson Instructor,Department of Mathematics,University of Chicago,Chicago,IL,"60637",,"11MDUM",20120357,27.0,MPu_L,MDUM,110.0,Math Private Large,140.0,1727.0,"110MDUM",2.0,11.0,2012,DGData
11.0,MISU,"110MISU0112",888.0,35.0,"10-Equa",Group II,Full-time,Yes,Michigan State University,Department of Mathematics ,United States,10.0,East Lansing,MI,"48824",PHD,"11",1.0,2.0,20.0,1.0,1.0,No,Ed Lorenz Postdoctoral Fellow,Department of Mathematical and Statistical Sciences,Arizona State University,Tempe,AZ,"85287-1804",United States,"11MISU",20120423,10.0,MPu_L,MISU,110.0,Math Public Large,110.0,1775.0,"110MISU",2.0,2.0,2012,DGData
11.0,MIUM,"110MIUM0112",2.0,14.0,"1-Alg",Business/Industry,Full-time,No,University of Michigan,Department of Mathematics ,Canada,23.0,Ann Arbor,MI,"48109",PHD,"11",1.0,2.0,120.0,2.0,1.0,No,Associate - Quantitative Risk,,Goldman Sachs,New York,NY,"10282",,"11MIUM",20121203,23.0,MPu_L,MIUM,110.0,Business/Industry,935.0,1773.0,"110MIUM",2.0,2.0,2012,DGData
11.0,MNUM,"110MNUM0112",2.0,31.0,"2-Anal",Business/Industry,Full-time,No,University of Minnesota-Twin Cities,School of Mathematics,China,8.0,Minneapolis,MN,"55455",PHD,"11",1.0,2.0,120.0,2.0,1.0,No,Software Engineer,,KLA-Tencor,Milpitas,CA,"95035",United States,"11MNUM",20121290,8.0,MPu_L,MNUM,110.0,Business/Industry,935.0,1789.0,"110MNUM",2.0,3.0,2012,DGData
11.0,NYGC,"110NYGC0112",888.0,68.0,"4-Disc",Bachelors,Full-time,Yes,"Graduate Center, City University of New York",PhD Program in Mathematics,United States,13.0,New York,NY,"10016",PHD,"11",1.0,2.0,70.0,1.0,1.0,No,Visiting Asst Prof,Department of Mathematics and Statistics,Smith College,Northampton,MA,"01063",United States,"11NYGC",20120408,13.0,MPu_L,NYGC,110.0,Bachelors,510.0,1485.0,"110NYGC",2.0,11.0,2012,DGData
